name,player_type,steam_id,reason,banned_time,release,complaint_times,register_days,playing_hours,best_weapon,best_weapon_heatshot,best_map,score
违规用户名_vip22,None,76561199033073915,作弊封禁,2020-03-16,Inf,0,None,None,None,None,None,
1159633963,None,76561199029486762,作弊封禁,2020-03-16,Inf,0,None,None,None,None,None,
软音sir,Vip,76561199029471892,作弊封禁,2020-03-16,Inf,7,None,None,P90,0.45,None,
藤原赵四是卦B,None,76561199031720020,作弊封禁,2020-03-16,Inf,5,None,None,AWP,0.07,None,
每天都要乖,None,76561199028160519,作弊封禁,2020-03-16,Inf,0,None,None,AWP,0.18,None,
冲天香阵透长安,None,76561198995638579,作弊封禁,2020-03-16,Inf,1,None,None,None,None,None,
鳞泷左近次丶,None,76561199032769047,作弊封禁,2020-03-16,Inf,1,None,None,AK47,0.10,None,
我给捂汗捐过粮,None,76561198800828786,作弊封禁,2020-03-16,Inf,0,None,None,None,None,None,
高频玩家,Vip,76561199026465370,作弊封禁,2020-03-16,Inf,13,None,None,AK47,0.48,overpass,1130
东方世界第一,None,76561199025933259,作弊封禁,2020-03-16,Inf,0,None,None,None,None,None,
apuo229044,None,76561199026030114,作弊封禁,2020-03-16,Inf,5,None,None,AWP,0.06,None,
ZZH9299,None,76561199032257321,作弊封禁,2020-03-16,Inf,6,None,None,AK47,0.90,None,
违规用户名_4615866rfhoe9,None,76561199032068252,作弊封禁,2020-03-16,Inf,3,None,None,AWP,0.00,None,
快这热乎,Vip,76561198138623850,作弊封禁,2020-03-16,Inf,3,None,None,AWP,0.18,None,
Ambe1Eyes,None,76561198993770045,作弊封禁,2020-03-16,Inf,4,None,None,None,None,None,
✎ℳ๓叶凡✎ℳ๓,None,76561199029259706,作弊封禁,2020-03-16,Inf,3,None,None,None,None,None,
我真的刚开始玩,None,76561199032052449,作弊封禁,2020-03-16,Inf,0,None,None,Desert Eagle,0.75,None,
u3xf2v,None,76561199031143774,作弊封禁,2020-03-16,Inf,11,None,None,AWP,0.15,None,
bibibibi12,None,76561198326296551,作弊封禁,2020-03-16,Inf,18,None,None,SG 553,0.34,None,1979
我们真的不会8给,None,76561198827125826,作弊封禁,2020-03-16,Inf,5,None,None,None,None,None,
斜杠小青年,None,76561198238172316,作弊封禁,2020-03-16,Inf,16,None,None,AK47,0.63,dust2,1386
x110,None,76561199011363563,作弊封禁,2020-03-16,Inf,23,None,None,AK47,0.54,dust2,1478
奥力给6,None,76561199032940036,作弊封禁,2020-03-16,Inf,2,None,None,None,None,None,
希望是很危险的,None,76561198387815773,作弊封禁,2020-03-16,Inf,0,None,None,None,None,None,
TaShiDondup丶,None,76561199033251591,作弊封禁,2020-03-16,Inf,1,None,None,None,None,None,
还会熬夜吗,None,76561199012193874,作弊封禁,2020-03-16,Inf,2,None,None,AK47,0.48,mirage,1267
丶南辰,None,76561198992382514,作弊封禁,2020-03-16,Inf,3,None,None,AWP,0.08,dust2,837
祖安将军猛虎王,None,76561199033095663,作弊封禁,2020-03-16,Inf,0,None,None,None,None,None,
blue857,None,76561198848686350,作弊封禁,2020-03-16,Inf,0,None,None,AK47,0.18,None,
快实行planB计划,Vip,76561198893638832,作弊封禁,2020-03-16,Inf,1,None,None,None,None,None,
卡布奇诺今犹在,None,76561198814715962,作弊封禁,2020-03-16,Inf,0,None,None,None,None,None,
Gj天才,None,76561198999617638,作弊封禁,2020-03-16,Inf,2,None,None,Negev,0.20,dust2,1172
Sweet-Dream,Vip,76561199032056309,作弊封禁,2020-03-16,Inf,0,None,None,None,None,None,
柠仔-。,None,76561199033960893,作弊封禁,2020-03-16,Inf,2,None,None,None,None,None,
cqing03,None,76561199015250563,作弊封禁,2020-03-16,Inf,0,None,None,None,None,None,
在谈恋爱司马,None,76561198377509513,作弊封禁,2020-03-16,Inf,3,None,None,None,None,None,
CS6-ALIN,Vip,76561199032848746,作弊封禁,2020-03-16,Inf,1,None,None,None,None,None,
anewAWP,None,76561199034003435,作弊封禁,2020-03-16,Inf,0,None,None,None,None,None,
膜法战士996,None,76561199016687246,作弊封禁,2020-03-16,Inf,0,None,None,None,None,None,
a872416064,None,76561198357180580,作弊封禁,2020-03-16,Inf,4,None,None,SG 553,0.39,dust2,
欧阳老富贵,None,76561199021167468,作弊封禁,2020-03-16,Inf,0,None,None,None,None,None,
lesolielsort,None,76561198238773230,作弊封禁,2020-03-16,Inf,7,None,None,M4A4,0.33,mirage,
dahanhan_han,None,76561199022215883,作弊封禁,2020-03-16,Inf,1,None,None,None,None,None,
你搁那光转啥呢,None,76561198425793875,作弊封禁,2020-03-16,Inf,0,None,None,None,None,None,
TS必全家Baobi,Vip,76561198191723731,作弊封禁,2020-03-16,Inf,24,None,None,AK47,0.54,dust2,
奇怪的悍匪1,None,76561198968991765,作弊封禁,2020-03-16,Inf,0,None,None,None,None,None,
’Knapsack,None,76561198827092111,作弊封禁,2020-03-16,Inf,12,None,None,AK47,0.47,mirage,1524
yeah_oh2,Vip,76561199032346123,作弊封禁,2020-03-16,Inf,6,None,None,AWP,0.06,None,
